,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
207,,,,,,,,,,2022-02-10,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,236.0,0.0,0.0,0.0,0.0,2022-02-10T19:45:00Z,0.0,20.0,0.0,0.0,0.0,0.0,24.0,0.0,11236.0,1.0,0.0,0.0,0.0,-98.0,0.0,98.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,2022-02-19,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,251.0,0.0,0.0,0.0,0.0,2022-02-19T15:00:00Z,0.0,3.0,0.0,0.0,0.0,0.0,26.0,0.0,11120.0,1.0,2.0,0.0,0.0,-62.0,0.0,62.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,2022-02-24,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,191.0,0.0,0.0,0.0,0.0,2022-02-24T19:45:00Z,0.0,20.0,0.0,0.0,0.0,0.0,26.0,0.0,11120.0,1.0,2.0,0.0,0.0,-62.0,0.0,62.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,2022-03-16,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,261.0,0.0,0.0,0.0,0.0,2022-03-16T20:15:00Z,0.0,11.0,0.0,0.0,0.0,0.0,29.0,0.0,10980.0,2.0,0.0,0.0,0.0,-51.0,0.0,51.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,2022-04-04,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,304.0,0.0,0.0,0.0,0.0,2022-04-04T19:00:00Z,0.0,7.0,0.0,0.0,0.0,0.0,31.0,0.0,10920.0,0.0,3.0,0.0,0.0,-35.0,0.0,35.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,2022-04-09,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,311.0,0.0,0.0,0.0,0.0,2022-04-09T14:00:00Z,0.0,4.0,0.0,0.0,0.0,0.0,32.0,0.0,10910.0,2.0,1.0,0.0,0.0,-14.0,0.0,14.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,2022-04-20,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,243.0,0.0,0.0,0.0,0.0,2022-04-20T18:45:00Z,0.0,6.0,0.0,0.0,0.0,0.0,33.0,0.0,10867.0,4.0,2.0,0.0,0.0,-41.0,0.0,41.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,2022-04-23,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,331.0,0.0,0.0,0.0,0.0,2022-04-23T11:30:00Z,0.0,13.0,0.0,0.0,0.0,0.0,34.0,0.0,10844.0,1.0,3.0,0.0,0.0,-22.0,0.0,22.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,2022-05-08,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,351.0,0.0,0.0,0.0,0.0,2022-05-08T13:00:00Z,0.0,10.0,0.0,0.0,0.0,0.0,36.0,0.0,10803.0,1.0,2.0,0.0,0.0,-21.0,0.0,21.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,2022-05-12,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,218.0,0.0,0.0,0.0,0.0,2022-05-12T18:45:00Z,0.0,17.0,0.0,0.0,0.0,0.0,36.0,0.0,10803.0,0.0,3.0,0.0,0.0,-21.0,0.0,21.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,2022-05-22,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,371.0,0.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,0.0,8.0,0.0,0.0,0.0,0.0,38.0,0.0,10754.0,1.0,5.0,0.0,0.0,-22.0,0.0,22.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,2019-03-10,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,450.0,291.0,0.0,0.0,0.0,0.0,2019-03-10T16:30:00Z,0.0,14.0,0.0,0.0,0.0,0.0,30.0,0.0,207533.0,0.0,2.0,0.0,0.0,-50698.0,282.0,50980.0,48.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16666.0,0.0,10 Mar 16:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,,,,,,,,,,2019-04-01,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,450.0,311.0,0.0,0.0,0.0,0.0,2019-04-01T19:00:00Z,0.0,15.0,0.0,0.0,0.0,0.0,32.0,0.0,173737.0,0.0,2.0,0.0,0.0,-15256.0,187.0,15443.0,47.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17804.0,0.0,01 Apr 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,,,,,,,,,,2019-04-07,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,450.0,323.0,0.0,0.0,0.0,0.0,2019-04-07T13:05:00Z,0.0,8.0,0.0,0.0,0.0,0.0,33.0,0.0,166997.0,0.0,1.0,0.0,0.0,-7949.0,155.0,8104.0,47.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18305.0,0.0,07 Apr 14:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,,,,,,,,,,2019-05-12,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,450.0,372.0,0.0,0.0,0.0,0.0,2019-05-12T14:00:00Z,0.0,4.0,0.0,0.0,0.0,0.0,38.0,0.0,162364.0,3.0,1.0,0.0,0.0,-547.0,1852.0,2399.0,47.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21617.0,0.0,12 May 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,,,,,,,,,,2022-08-05,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,2022-08-05T19:00:00Z,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,39173.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,2022-08-13,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0,2022-08-13T14:00:00Z,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,34449.0,2.0,4.0,0.0,0.0,-9658.0,2811.0,12469.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,2022-08-20,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,0.0,0.0,2022-08-20T16:30:00Z,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,22621.0,3.0,0.0,0.0,0.0,-11907.0,0.0,11907.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,2022-08-27,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,22.0,31.0,0.0,0.0,0.0,0.0,2022-08-27T16:30:00Z,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,18037.0,1.0,2.0,0.0,0.0,-5145.0,0.0,5145.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,2022-08-31,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,22.0,41.0,0.0,0.0,0.0,0.0,2022-08-31T18:30:00Z,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,15829.0,1.0,2.0,0.0,0.0,-2345.0,0.0,2345.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,2022-09-04,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,22.0,56.0,0.0,0.0,0.0,0.0,2022-09-04T15:30:00Z,0.0,14.0,0.0,0.0,0.0,0.0,6.0,0.0,14008.0,1.0,3.0,0.0,0.0,-1852.0,0.0,1852.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,2022-09-18,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,22.0,72.0,0.0,0.0,0.0,0.0,2022-09-18T11:00:00Z,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,12366.0,3.0,0.0,0.0,0.0,-455.0,0.0,455.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,2022-10-01,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,22.0,81.0,0.0,0.0,0.0,0.0,2022-10-01T11:30:00Z,0.0,18.0,0.0,0.0,0.0,0.0,9.0,0.0,11979.0,1.0,3.0,0.0,0.0,-589.0,0.0,589.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,2020-09-12,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,2020-09-12T11:30:00Z,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,15039.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,2020-09-19,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,9.0,0.0,0.0,0.0,0.0,2020-09-19T19:00:00Z,0.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,14793.0,1.0,2.0,0.0,0.0,-3347.0,811.0,4158.0,49.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,2020-09-28,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,23.0,0.0,0.0,0.0,0.0,2020-09-28T19:00:00Z,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,13789.0,1.0,3.0,0.0,0.0,-2285.0,1248.0,3533.0,49.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,2020-10-04,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,29.0,0.0,0.0,0.0,0.0,2020-10-04T13:00:00Z,0.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,13254.0,1.0,2.0,0.0,0.0,-1210.0,751.0,1961.0,48.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,2020-10-25,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,49.0,0.0,0.0,0.0,0.0,2020-10-25T19:15:00Z,0.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,8988.0,1.0,0.0,0.0,0.0,-1479.0,93.0,1572.0,48.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,2020-11-01,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,64.0,0.0,0.0,0.0,0.0,2020-11-01T16:30:00Z,0.0,13.0,0.0,0.0,0.0,0.0,7.0,0.0,8217.0,1.0,0.0,0.0,0.0,-827.0,15.0,842.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,2020-11-08,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,69.0,0.0,0.0,0.0,0.0,2020-11-08T19:15:00Z,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,7786.0,3.0,0.0,0.0,0.0,-470.0,25.0,495.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,2020-11-22,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,82.0,0.0,0.0,0.0,0.0,2020-11-22T16:30:00Z,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,7396.0,0.0,0.0,0.0,0.0,-390.0,12.0,402.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,2020-11-29,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,89.0,0.0,0.0,0.0,0.0,2020-11-29T19:15:00Z,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,7268.0,2.0,1.0,0.0,0.0,-150.0,17.0,167.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,2020-12-06,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,106.0,0.0,0.0,0.0,0.0,2020-12-06T16:30:00Z,0.0,17.0,0.0,0.0,0.0,0.0,11.0,0.0,7204.0,0.0,2.0,0.0,0.0,-91.0,104.0,195.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,2020-12-13,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,109.0,0.0,0.0,0.0,0.0,2020-12-13T19:15:00Z,0.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,6999.0,1.0,0.0,0.0,0.0,-198.0,26.0,224.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,2020-12-16,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,119.0,0.0,0.0,0.0,0.0,2020-12-16T18:00:00Z,0.0,16.0,0.0,0.0,0.0,0.0,13.0,0.0,6959.0,1.0,1.0,0.0,0.0,-50.0,14.0,64.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,2020-12-19,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,133.0,0.0,0.0,0.0,0.0,2020-12-19T17:30:00Z,0.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,6913.0,1.0,2.0,0.0,0.0,-48.0,8.0,56.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,2020-12-26,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,139.0,0.0,0.0,0.0,0.0,2020-12-26T17:30:00Z,0.0,5.0,0.0,0.0,0.0,0.0,15.0,0.0,6806.0,1.0,3.0,0.0,0.0,-108.0,6.0,114.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,2020-12-29,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,149.0,0.0,0.0,0.0,0.0,2020-12-29T18:00:00Z,0.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,6772.0,1.0,0.0,0.0,0.0,-44.0,0.0,44.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,2021-01-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,168.0,0.0,0.0,0.0,0.0,2021-01-02T20:00:00Z,0.0,18.0,0.0,0.0,0.0,0.0,17.0,0.0,6733.0,4.0,0.0,0.0,0.0,-45.0,5.0,50.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,2021-01-14,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,169.0,0.0,0.0,0.0,0.0,2021-01-14T20:00:00Z,0.0,6.0,0.0,0.0,0.0,0.0,18.0,0.0,6629.0,0.0,0.0,0.0,0.0,-91.0,5.0,96.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,2021-01-18,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,179.0,0.0,0.0,0.0,0.0,2021-01-18T20:00:00Z,0.0,14.0,0.0,0.0,0.0,0.0,19.0,0.0,6618.0,0.0,3.0,0.0,0.0,-27.0,1.0,28.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,2021-01-26,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,197.0,0.0,0.0,0.0,0.0,2021-01-26T20:15:00Z,0.0,16.0,0.0,0.0,0.0,0.0,20.0,0.0,6576.0,3.0,1.0,0.0,0.0,-45.0,0.0,45.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,2021-01-30,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,199.0,0.0,0.0,0.0,0.0,2021-01-30T17:30:00Z,0.0,13.0,0.0,0.0,0.0,0.0,21.0,0.0,6536.0,0.0,0.0,0.0,0.0,-39.0,0.0,39.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,2021-02-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,215.0,0.0,0.0,0.0,0.0,2021-02-02T18:00:00Z,0.0,20.0,0.0,0.0,0.0,0.0,22.0,0.0,6509.0,1.0,2.0,0.0,0.0,-27.0,0.0,27.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,2021-02-06,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,219.0,0.0,0.0,0.0,0.0,2021-02-06T12:30:00Z,0.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,6476.0,0.0,1.0,0.0,0.0,-31.0,0.0,31.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,2021-02-14,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,229.0,0.0,0.0,0.0,0.0,2021-02-14T16:30:00Z,0.0,10.0,0.0,0.0,0.0,0.0,24.0,0.0,6444.0,2.0,4.0,0.0,0.0,-32.0,0.0,32.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,2021-02-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,239.0,0.0,0.0,0.0,0.0,2021-02-21T16:30:00Z,0.0,12.0,0.0,0.0,0.0,0.0,25.0,0.0,6407.0,1.0,0.0,0.0,0.0,-36.0,0.0,36.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,2021-03-06,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,261.0,0.0,0.0,0.0,0.0,2021-03-06T12:30:00Z,0.0,4.0,0.0,0.0,0.0,0.0,27.0,0.0,6363.0,1.0,1.0,0.0,0.0,-24.0,0.0,24.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,2021-03-14,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,269.0,0.0,0.0,0.0,0.0,2021-03-14T16:30:00Z,0.0,17.0,0.0,0.0,0.0,0.0,28.0,0.0,6345.0,1.0,2.0,0.0,0.0,-21.0,0.0,21.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,2021-03-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,288.0,0.0,0.0,0.0,0.0,2021-03-21T15:00:00Z,0.0,19.0,0.0,0.0,0.0,0.0,29.0,0.0,6331.0,3.0,3.0,0.0,0.0,-14.0,0.0,14.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,2021-04-03,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,289.0,0.0,0.0,0.0,0.0,2021-04-03T19:00:00Z,0.0,11.0,0.0,0.0,0.0,0.0,30.0,0.0,6320.0,3.0,0.0,0.0,0.0,-12.0,0.0,12.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,2021-04-23,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,319.0,0.0,0.0,0.0,0.0,2021-04-23T19:00:00Z,0.0,7.0,0.0,0.0,0.0,0.0,33.0,0.0,6288.0,1.0,0.0,0.0,0.0,-7.0,0.0,7.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,2021-05-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,335.0,0.0,0.0,0.0,0.0,2021-05-02T13:00:00Z,0.0,14.0,0.0,0.0,0.0,0.0,34.0,0.0,6290.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,2021-05-09,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,339.0,0.0,0.0,0.0,0.0,2021-05-09T18:00:00Z,0.0,18.0,0.0,0.0,0.0,0.0,35.0,0.0,6286.0,1.0,3.0,0.0,0.0,-5.0,0.0,5.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,2021-05-12,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,354.0,0.0,0.0,0.0,0.0,2021-05-12T19:15:00Z,0.0,5.0,0.0,0.0,0.0,0.0,35.0,0.0,6286.0,1.0,0.0,0.0,0.0,-5.0,0.0,5.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,2021-05-19,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,362.0,0.0,0.0,0.0,0.0,2021-05-19T18:00:00Z,0.0,6.0,0.0,0.0,0.0,0.0,37.0,0.0,6275.0,3.0,1.0,0.0,0.0,-2.0,0.0,2.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,2021-05-23,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.0,369.0,0.0,0.0,0.0,0.0,2021-05-23T15:00:00Z,0.0,3.0,0.0,0.0,0.0,0.0,38.0,0.0,6270.0,0.0,2.0,0.0,0.0,-5.0,0.0,5.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
